specID,ta,tabin,Trial_Type,contingency,study_str,id,prob,err,trtype_str
ss21_bl6040,50,2,1,60/40,study_3,ss21,0.590918367346939,-0.115494231860331,hi-prob
ss21_bl6040,50,2,2,60/40,study_3,ss21,0.251326530612245,-0.180112339400709,low-prob
ss21_bl7525,50,2,1,75/25,study_3,ss21,0.741442307692308,-0.100495335330777,hi-prob
ss21_bl7525,50,2,2,75/25,study_3,ss21,0.183365384615385,-0.00307790350994867,low-prob
ss21_bl9010,50,2,1,90/10,study_3,ss21,0.908039215686274,-0.0457052843228838,hi-prob
ss21_bl9010,50,2,2,90/10,study_3,ss21,0.0419607843137254,0.0228176454548528,low-prob
ss22_bl6040,52,2,1,60/40,study_3,ss22,0.872375,0.222571097561423,hi-prob
ss22_bl6040,52,2,2,60/40,study_3,ss22,0.67625,0.212110383668046,low-prob
ss22_bl7525,52,2,1,75/25,study_3,ss22,0.775487804878049,0.0862601802033955,hi-prob
ss22_bl7525,52,2,2,75/25,study_3,ss22,0.121219512195122,-0.138708549100643,low-prob
ss22_bl9010,52,2,1,90/10,study_3,ss22,0.9459,-0.0135434420782695,hi-prob
ss22_bl9010,52,2,2,90/10,study_3,ss22,0.0929,-0.0571830784432327,low-prob
ss23_bl6040,44,2,1,60/40,study_3,ss23,0.841020408163266,0.142460313594215,hi-prob
ss23_bl6040,44,2,2,60/40,study_3,ss23,0.309591836734694,-0.0940896121279815,low-prob
ss23_bl7525,44,2,1,75/25,study_3,ss23,0.688953488372093,0.00993155294376149,hi-prob
ss23_bl7525,44,2,2,75/25,study_3,ss23,0.344186046511628,0.0217523952875721,low-prob
ss23_bl9010,44,2,1,90/10,study_3,ss23,0.930681818181818,0.0495310930531855,hi-prob
ss23_bl9010,44,2,2,90/10,study_3,ss23,0.102840909090909,-0.0932762242153367,low-prob
ss24_bl6040,27,1,1,60/40,study_3,ss24,0.291071428571429,-0.295794864550081,hi-prob
ss24_bl6040,27,1,2,60/40,study_3,ss24,0.268095238095238,-0.177216420211776,low-prob
ss24_bl7525,27,1,1,75/25,study_3,ss24,0.558363636363636,-0.140565638359735,hi-prob
ss24_bl7525,27,1,2,75/25,study_3,ss24,0.853272727272727,0.624103980484478,low-prob
ss24_bl9010,27,1,1,90/10,study_3,ss24,0.38156862745098,-0.572175872558178,hi-prob
ss24_bl9010,27,1,2,90/10,study_3,ss24,0.99470588235294,0.975562743494069,low-prob
ss25_bl6040,40,2,1,60/40,study_3,ss25,0.694605263157895,-0.0198753817041179,hi-prob
ss25_bl6040,40,2,2,60/40,study_3,ss25,0.03125,-0.366731031987199,low-prob
ss25_bl7525,40,2,1,75/25,study_3,ss25,0.629553571428572,-0.156764038154856,hi-prob
ss25_bl7525,40,2,2,75/25,study_3,ss25,0.220535714285714,0.0337441676919512,low-prob
ss25_bl9010,40,2,1,90/10,study_3,ss25,0.628617021276596,-0.339939573971437,hi-prob
ss25_bl9010,40,2,2,90/10,study_3,ss25,0.185531914893617,0.118404496227948,low-prob
ss26_bl6040,50,2,1,60/40,study_3,ss26,0.714358974358974,0.0821029343409858,hi-prob
ss26_bl6040,50,2,2,60/40,study_3,ss26,0.103333333333333,-0.110891485223036,low-prob
ss26_bl7525,50,2,1,75/25,study_3,ss26,0.815294117647059,0.112026237803643,hi-prob
ss26_bl7525,50,2,2,75/25,study_3,ss26,0.111176470588235,-0.156920822643691,low-prob
ss26_bl9010,50,2,1,90/10,study_3,ss26,0.960744680851063,-0.00781191439696923,hi-prob
ss26_bl9010,50,2,2,90/10,study_3,ss26,0.0859574468085106,0.0188300281428419,low-prob
ss27_bl6040,27,1,1,60/40,study_3,ss27,0.574183673469388,-0.144244231860331,hi-prob
ss27_bl6040,27,1,2,60/40,study_3,ss27,0.516224489795919,0.116251296962928,low-prob
ss27_bl7525,27,1,1,75/25,study_3,ss27,0.356764705882353,-0.346503173961063,hi-prob
ss27_bl7525,27,1,2,75/25,study_3,ss27,0.193333333333333,-0.0747639598985935,low-prob
ss27_bl9010,27,1,1,90/10,study_3,ss27,0.829117647058824,-0.124626852950335,hi-prob
ss27_bl9010,27,1,2,90/10,study_3,ss27,0.0896078431372548,0.0704647042783823,low-prob
ss28_bl6040,38,1,1,60/40,study_3,ss28,0.89202380952381,0.383394324639109,hi-prob
ss28_bl6040,38,1,2,60/40,study_3,ss28,0.669642857142857,0.223188985193629,low-prob
ss28_bl7525,38,1,1,75/25,study_3,ss28,0.958372093023256,0.249931552943762,hi-prob
ss28_bl7525,38,1,2,75/25,study_3,ss28,0.215813953488372,-0.0878528678703226,low-prob
ss28_bl9010,38,1,1,90/10,study_3,ss28,0.978723404255319,0.0382385830011436,hi-prob
ss28_bl9010,38,1,2,90/10,study_3,ss28,0.106276595744681,-0.0379473991470731,low-prob
ss29_bl6040,40,2,1,60/40,study_3,ss29,0.719875,0.047015542005867,hi-prob
ss29_bl6040,40,2,2,60/40,study_3,ss29,0.459375,-0.030111838554176,low-prob
ss29_bl7525,40,2,1,75/25,study_3,ss29,0.84445652173913,-0.0319748975358967,hi-prob
ss29_bl7525,40,2,2,75/25,study_3,ss29,0.164891304347826,-0.0144198946826722,low-prob
ss29_bl9010,40,2,1,90/10,study_3,ss29,0.983599999999999,0.0162239997821957,hi-prob
ss29_bl9010,40,2,2,90/10,study_3,ss29,0.1289,-0.0195086598385816,low-prob
ss30_bl6040,53,2,1,60/40,study_3,ss30,0.764642857142857,0.257718648963433,hi-prob
ss30_bl6040,53,2,2,60/40,study_3,ss30,0.446547619047619,-0.00681101480637084,low-prob
ss30_bl7525,53,2,1,75/25,study_3,ss30,0.901346153846154,0.0594085108230686,hi-prob
ss30_bl7525,53,2,2,75/25,study_3,ss30,0.118846153846154,-0.0675971342791794,low-prob
ss30_bl9010,53,2,1,90/10,study_3,ss30,0.889230769230769,0.000915319668561885,hi-prob
ss30_bl9010,53,2,2,90/10,study_3,ss30,0.0551923076923076,-0.0668276042485352,low-prob
ss32_bl6040,27,1,1,60/40,study_3,ss32,0.41125,-0.284234457994133,hi-prob
ss32_bl6040,27,1,2,60/40,study_3,ss32,0.3395,-0.167334060776398,low-prob
ss32_bl7525,27,1,1,75/25,study_3,ss32,0.586923076923077,-0.255014566100008,hi-prob
ss32_bl7525,27,1,2,75/25,study_3,ss32,0.170096153846154,-0.0163471342791794,low-prob
ss32_bl9010,27,1,1,90/10,study_3,ss32,0.949659090909091,0.0524477597198522,hi-prob
ss32_bl9010,27,1,2,90/10,study_3,ss32,0.0732954545454545,-0.0860540019931145,low-prob
ss33_bl6040,37,1,1,60/40,study_3,ss33,0.635897435897436,0.00054848931069459,hi-prob
ss33_bl6040,37,1,2,60/40,study_3,ss33,0.548333333333333,0.0518963091277928,low-prob
ss33_bl7525,37,1,1,75/25,study_3,ss33,0.710581395348837,0.0215105003121826,hi-prob
ss33_bl7525,37,1,2,75/25,study_3,ss33,0.459302325581395,0.153331342655993,low-prob
ss33_bl9010,37,1,1,90/10,study_3,ss33,0.879509803921568,-0.0742346960875897,hi-prob
ss33_bl9010,37,1,2,90/10,study_3,ss33,0.0374509803921568,0.0183078415332842,low-prob
ss34_bl6040,53,2,1,60/40,study_3,ss34,0.709487179487179,0.0741382329004382,hi-prob
ss34_bl6040,53,2,2,60/40,study_3,ss34,0.482051282051282,-0.0143857421542585,low-prob
ss34_bl7525,53,2,1,75/25,study_3,ss34,0.756707317073171,0.0674796923985175,hi-prob
ss34_bl7525,53,2,2,75/25,study_3,ss34,0.194878048780488,-0.0650500125152772,low-prob
ss34_bl9010,53,2,1,90/10,study_3,ss34,0.961914893617021,0.0352385830011436,hi-prob
ss34_bl9010,53,2,2,90/10,study_3,ss34,0.0351063829787233,-0.0796547162202439,low-prob
ss35_bl6040,39,1,1,60/40,study_3,ss35,0.518958333333333,-0.0636155083137327,hi-prob
ss35_bl6040,39,1,2,60/40,study_3,ss35,0.394583333333333,0.069467497339447,low-prob
ss35_bl7525,39,1,1,75/25,study_3,ss35,0.687558139534884,-0.000989499687817436,hi-prob
ss35_bl7525,39,1,2,75/25,study_3,ss35,0.193372093023256,-0.113642341554533,low-prob
ss35_bl9010,39,1,1,90/10,study_3,ss35,0.8582,-0.129822511845711,hi-prob
ss35_bl9010,39,1,2,90/10,study_3,ss35,0.1922,0.0802587820218836,low-prob
ss36_bl6040,37,1,1,60/40,study_3,ss36,0.421634615384615,-0.200710285265679,hi-prob
ss36_bl6040,37,1,2,60/40,study_3,ss36,0.395769230769231,0.0739512942424571,low-prob
ss36_bl7525,37,1,1,75/25,study_3,ss36,0.748942307692308,-0.0929953353307775,hi-prob
ss36_bl7525,37,1,2,75/25,study_3,ss36,0.264519230769231,0.0780759426438975,low-prob
ss36_bl9010,37,1,1,90/10,study_3,ss36,0.805681818181818,-0.08352446250237,hi-prob
ss36_bl9010,37,1,2,90/10,study_3,ss36,0.2975,0.138251553562441,low-prob
ss37_bl6040,53,2,1,60/40,study_3,ss37,0.553333333333333,0.022718648963433,hi-prob
ss37_bl6040,53,2,2,60/40,study_3,ss37,0.479047619047619,0.00440520140984531,low-prob
ss37_bl7525,53,2,1,75/25,study_3,ss37,0.696727272727273,-0.000148971693068801,hi-prob
ss37_bl7525,53,2,2,75/25,study_3,ss37,0.368090909090909,0.0971248138178116,low-prob
ss37_bl9010,53,2,1,90/10,study_3,ss37,0.842608695652174,-0.0699616443505331,hi-prob
ss37_bl9010,53,2,2,90/10,study_3,ss37,0.201304347826087,0.172939832574717,low-prob
ss38_bl6040,20,1,1,60/40,study_3,ss38,0.633571428571429,0.101097027341811,hi-prob
ss38_bl6040,20,1,2,60/40,study_3,ss38,0.376071428571429,-0.0865407445361006,low-prob
ss38_bl7525,20,1,1,75/25,study_3,ss38,0.50375,-0.282567609583428,hi-prob
ss38_bl7525,20,1,2,75/25,study_3,ss38,0.298660714285714,0.111869167691951,low-prob
ss38_bl9010,20,1,1,90/10,study_3,ss38,0.671346153846154,-0.216969295716053,hi-prob
ss38_bl9010,20,1,2,90/10,study_3,ss38,0.304326923076923,0.18230701113608,low-prob
ss39_bl6040,33,1,1,60/40,study_3,ss39,0.833461538461538,0.256789714734321,hi-prob
ss39_bl6040,33,1,2,60/40,study_3,ss39,0.382884615384616,0.00419519668148144,low-prob
ss39_bl7525,33,1,1,75/25,study_3,ss39,0.621666666666667,-0.0816012131767491,hi-prob
ss39_bl7525,33,1,2,75/25,study_3,ss39,0.469901960784314,0.201804667552387,low-prob
ss39_bl9010,33,1,1,90/10,study_3,ss39,0.924204545454545,0.0374477597198522,hi-prob
ss39_bl9010,33,1,2,90/10,study_3,ss39,0.10375,-0.0846651131042256,low-prob
ss3_bl6040,46,2,1,60/40,study_3,ss3,0.423589743589744,-0.211759202996998,hi-prob
ss3_bl6040,46,2,2,60/40,study_3,ss3,0.42474358974359,-0.0716934344619509,low-prob
ss3_bl7525,46,2,1,75/25,study_3,ss3,0.745,0.0417321201565842,hi-prob
ss3_bl7525,46,2,2,75/25,study_3,ss3,0.201274509803922,-0.0668227834280052,low-prob
ss3_bl9010,46,2,1,90/10,study_3,ss3,0.9009,-0.0556364653340834,hi-prob
ss3_bl9010,46,2,2,90/10,study_3,ss3,0.1482,0.00351459597537195,low-prob
ss40_bl6040,56,2,1,60/40,study_3,ss40,0.53725,-0.145206680216355,hi-prob
ss40_bl6040,56,2,2,60/40,study_3,ss40,0.73075,0.24544371700138,low-prob
ss40_bl7525,56,2,1,75/25,study_3,ss40,0.917307692307692,0.0753700492846071,hi-prob
ss40_bl7525,56,2,2,75/25,study_3,ss40,0.128076923076923,-0.0583663650484102,low-prob
ss40_bl9010,56,2,1,90/10,study_3,ss40,0.927872340425531,-0.0406842548225012,hi-prob
ss40_bl9010,56,2,2,90/10,study_3,ss40,0.119787234042553,0.0526598153768845,low-prob
ss41_bl6040,42,2,1,60/40,study_3,ss41,0.593452380952381,0.0579889192337032,hi-prob
ss41_bl6040,42,2,2,60/40,study_3,ss41,0.254761904761905,-0.221675879671236,low-prob
ss41_bl7525,42,2,1,75/25,study_3,ss41,0.788235294117647,0.0849674142742312,hi-prob
ss41_bl7525,42,2,2,75/25,study_3,ss41,0.112647058823529,-0.155450234408397,low-prob
ss41_bl9010,42,2,1,90/10,study_3,ss41,0.967941176470588,0.0141966764614299,hi-prob
ss41_bl9010,42,2,2,90/10,study_3,ss41,0.0268627450980392,0.00771960623916655,low-prob
ss42_bl6040,47,2,1,60/40,study_3,ss42,0.615128205128205,-0.0202207414585362,hi-prob
ss42_bl6040,47,2,2,60/40,study_3,ss42,0.591666666666667,0.0952296424611261,low-prob
ss42_bl7525,47,2,1,75/25,study_3,ss42,0.844146341463414,0.154918716788761,hi-prob
ss42_bl7525,47,2,2,75/25,study_3,ss42,0.409268292682927,0.149340231387162,low-prob
ss42_bl9010,47,2,1,90/10,study_3,ss42,0.628173076923077,-0.26014237263913,hi-prob
ss42_bl9010,47,2,2,90/10,study_3,ss42,0.131634615384615,0.00961470344377249,low-prob
ss4_bl7525,28,1,1,75/25,study_3,ss4,0.700098039215686,-0.00316984062772951,hi-prob
ss4_bl7525,28,1,2,75/25,study_3,ss4,0.442058823529412,0.173961530297485,low-prob
ss4_bl9010,28,1,1,90/10,study_3,ss4,0.40054347826087,-0.512026861741838,hi-prob
ss4_bl9010,28,1,2,90/10,study_3,ss4,0.321847826086957,0.293483310835586,low-prob
ss5_bl6040,67,2,1,60/40,study_3,ss5,0.888541666666667,0.320043028271633,hi-prob
ss5_bl6040,67,2,2,60/40,study_3,ss5,0.254375,-0.0707705978986482,low-prob
ss5_bl7525,67,2,1,75/25,study_3,ss5,0.95076923076923,0.108831587746146,hi-prob
ss5_bl7525,67,2,2,75/25,study_3,ss5,0.060576923076923,-0.12586636504841,low-prob
ss5_bl9010,67,2,1,90/10,study_3,ss5,0.928823529411765,-0.0249209705973937,hi-prob
ss5_bl9010,67,2,2,90/10,study_3,ss5,0.0517647058823529,0.0326215670234803,low-prob
ss7_bl6040,60,2,1,60/40,study_3,ss7,0.477980769230769,-0.143448380503775,hi-prob
ss7_bl6040,60,2,2,60/40,study_3,ss7,0.479519230769231,0.174804952779042,low-prob
ss7_bl7525,60,2,1,75/25,study_3,ss7,0.468478260869565,-0.407953158405462,hi-prob
ss7_bl7525,60,2,2,75/25,study_3,ss7,0.441304347826087,0.261993148795589,low-prob
ss7_bl9010,60,2,1,90/10,study_3,ss7,0.531595744680851,-0.436960850567182,hi-prob
ss7_bl9010,60,2,2,90/10,study_3,ss7,0.302021276595745,0.234893857930076,low-prob
ss8_bl6040,20,1,1,60/40,study_3,ss8,0.561979166666667,-0.0278838009966596,hi-prob
ss8_bl6040,20,1,2,60/40,study_3,ss8,0.6196875,0.312205592577542,low-prob
ss8_bl9010,20,1,1,90/10,study_3,ss8,0.9375,0.02897553749763,hi-prob
ss8_bl9010,20,1,2,90/10,study_3,ss8,0.130340909090909,-0.0377206686597811,low-prob
ss9_bl6040,41,2,1,60/40,study_3,ss9,0.533269230769231,-0.07618647574187,hi-prob
ss9_bl6040,41,2,2,60/40,study_3,ss9,0.560192307692308,0.262975684486359,low-prob
ss9_bl7525,41,2,1,75/25,study_3,ss9,0.884818181818182,0.213705194973598,hi-prob
ss9_bl7525,41,2,2,75/25,study_3,ss9,0.405454545454545,0.116812313817812,low-prob
ss9_bl9010,41,2,1,90/10,study_3,ss9,0.883617021276596,-0.0849395739714373,hi-prob
ss9_bl9010,41,2,2,90/10,study_3,ss9,0.155106382978723,0.0879789643130547,low-prob
